well	name	addgene_id	resistance
A / 1	pStA0::J23100	114327	Ampicillin
A / 2	pStA0::J23102	114328	Ampicillin
A / 3	pStA0::J23107	114329	Ampicillin
A / 4	pStA0::J23113	114330	Ampicillin
A / 5	pStA0::J23116	114331	Ampicillin
A / 6	pStA0::J23118	114332	Ampicillin
A / 7	pStA0::RBSc13	114333	Ampicillin
A / 8	pStA0::RBSc33	114334	Ampicillin
A / 9	pStA0::RBSc44	114335	Ampicillin
A / 10	pStA0::RBSc58	114336	Ampicillin
A / 11	pSTA0::RBSc36	114337	Ampicillin
A / 12	pStA0::RBSc42	114338	Ampicillin
B / 1	pStA0::L3S2P55	114339	Ampicillin
B / 2	pStA0::L3S2P21	114340	Ampicillin
B / 3	pStA0::ECK120033737	114341	Ampicillin
B / 4	pStA0::ECK120019600	114342	Ampicillin
B / 5	pStA0::crtI	114343	Ampicillin
B / 6	pStA0::crtB	114344	Ampicillin
B / 7	pStA0::crtE	114345	Ampicillin
B / 8	pStA0::dxs	114346	Ampicillin
B / 9	pStA0::crtW	114347	Ampicillin
B / 10	pStA0::crtZ	114348	Ampicillin
B / 11	pStA0::lcyB	114349	Ampicillin
B / 12	pStA0::idi	114350	Ampicillin
C / 1	pStA0::eyfp	114351	Ampicillin
C / 2	pStA0	114161	Ampicillin
C / 3	pStA1AZ	114162	Tetracycline
C / 4	pStA1AB	114163	Tetracycline
C / 5	pStA1BZ	114164	Tetracycline
C / 6	pStA1BC	114165	Tetracycline
C / 7	pStA1CZ	114166	Tetracycline
C / 8	pStA1CD	114167	Tetracycline
C / 9	pStA1DZ	114168	Tetracycline
C / 10	pStA1DE	114169	Tetracycline
C / 11	pStA1EZ	114170	Tetracycline
C / 12	pStA212	114171	Kanamycin
D / 1	pStA223	114172	Kanamycin
D / 2	pStA234	114173	Kanamycin
D / 3	pStA313	114174	Chloramphenicol
D / 4	pStA314	114175	Chloramphenicol
