well	name	addgene_id	resistance
A / 1	pFH13	125798	Spectinomycin
A / 2	pFH14	125799	Spectinomycin
A / 3	pFH15	125800	Spectinomycin
A / 4	pFH16	125801	Spectinomycin
A / 5	pFH17	125803	Spectinomycin
A / 6	pFH22	125808	Spectinomycin
A / 7	pFH32	125809	Spectinomycin
A / 8	pFH45	125810	Spectinomycin
A / 9	pFH46	125811	Spectinomycin
A / 10	pFH47	125812	Spectinomycin
A / 11	pFH48	125813	Spectinomycin
A / 12	pFH55	125814	Spectinomycin
B / 1	pFH76	125815	Spectinomycin
B / 2	pFH77	125816	Spectinomycin
B / 3	pFH79	125818	Spectinomycin
B / 4	pFH91	125819	Spectinomycin
B / 5	pFH92	125820	Spectinomycin
B / 6	pFH40	125879	Spectinomycin
B / 7	pFH41	125880	Spectinomycin
B / 8	pFH42	125881	Spectinomycin
B / 9	pFH56	125882	Spectinomycin
B / 10	pFH57	125883	Spectinomycin
B / 11	pFH31	125884	Spectinomycin
B / 12	pFH33	125885	Spectinomycin
C / 1	pFH34	126008	Spectinomycin
C / 2	pFH35	126009	Spectinomycin
C / 3	pFH36	126010	Spectinomycin
C / 4	pFH37	126011	Spectinomycin
C / 5	pFH38	126012	Spectinomycin
C / 6	pFH39	126013	Spectinomycin
C / 7	pFH43	126020	Spectinomycin
C / 8	pFH44	126021	Spectinomycin
C / 9	pFH24	131763	Spectinomycin
C / 10	pFH25	131764	Spectinomycin
C / 11	pAK-EL-01	125760	Kanamycin
C / 12	pAK-EL-02	125761	Kanamycin
D / 1	pAK-EL-03	125762	Kanamycin
D / 2	pAK-EL-04	125763	Kanamycin
D / 3	pAK-EL-05	125764	Kanamycin
D / 4	pFH85	128198	Kanamycin
D / 5	pFH86	128199	Kanamycin
D / 6	pFH87	128200	Kanamycin
D / 7	pFH88	128201	Kanamycin
D / 8	pFH89	128202	Kanamycin
D / 9	pFH90	128203	Kanamycin
D / 10	pFH99	128204	Kanamycin
D / 11	pFH100	128205	Kanamycin
D / 12	pFH101	128206	Kanamycin
E / 1	pFH102	128207	Kanamycin
E / 2	pFH103	128208	Kanamycin
E / 3	pFH104	128209	Kanamycin
E / 4	pFH113	128210	Kanamycin
E / 5	pFH49	128211	Kanamycin
E / 6	pFH50	128212	Kanamycin
E / 7	pFH51	128213	Kanamycin
E / 8	pFH71	128214	Kanamycin
E / 9	pAK002	128215	Kanamycin
E / 10	pAK003	128216	Kanamycin
E / 11	pAK004	128217	Kanamycin
E / 12	pAK005	128218	Kanamycin
F / 1	pAK006	128219	Kanamycin
F / 2	pAK007	128220	Kanamycin
F / 3	pFH72	128221	Kanamycin
F / 4	pFH73	128222	Kanamycin
F / 5	pFH74	128223	Kanamycin
F / 6	pFH75	128224	Kanamycin
F / 7	pAK008	128225	Kanamycin
F / 8	pAK009	128226	Kanamycin
F / 9	pAK010	128227	Kanamycin
F / 10	pAK011	128228	Kanamycin
F / 11	pAK012	128229	Kanamycin
F / 12	pFH130	136549	Kanamycin
G / 1	pFH131	136550	Kanamycin
G / 2	pFH23	128180	Ampicillin
G / 3	pFH52	128181	Ampicillin
G / 4	pFH53	128182	Ampicillin
G / 5	pFH54	128183	Ampicillin
G / 6	pFH58	128184	Ampicillin
G / 7	pFH59	128185	Ampicillin
G / 8	pFH60	128186	Ampicillin
G / 9	pFH61	128187	Ampicillin
G / 10	pFH68	128188	Ampicillin
G / 11	pFH69	128189	Ampicillin
G / 12	pFH70	128190	Ampicillin
H / 1	pFH80	128191	Ampicillin
H / 2	pFH81	128192	Ampicillin
H / 3	pFH82	128193	Ampicillin
H / 4	pFH84	128195	Ampicillin
H / 5	pFH93	128196	Ampicillin
H / 6	pFH109	128197	Ampicillin
H / 7	pFH114	128408	Ampicillin
H / 8	pFH132	136547	Ampicillin
H / 9	pFH133	136548	Ampicillin
H / 10	pFH66	131765	Ampicillin
H / 11	pFH67	131766	Ampicillin
