addgene_id	name	content
51835	pAGT707	5'UTR, Ω (Tobacco Mosaic Virus)
50347	pICSL00002	Linker for joining modules with 3' TTCG overhangs to modules with 5' GTGG overhangs
50346	pICSL00001	Linker for joining modules with 3' GTGG overhangs to modules with 5' TTCG overhangs
50345	pICH71411	3'UTR, polyadenylation signal/terminator, RbcS3C (S. lycopersicum)
50344	pICH71431	3'UTR, polyadenylation signal/terminator, ATPase (S. lycopersicum)
50343	pICH41432	3'UTR, polyadenylation signal/terminator, ocs (A. tumefaciens)
50342	pICH77911	3'UTR, polyadenylation signal/terminator, ags (A. tumefaciens)
50341	pICH77901	3'UTR, polyadenylation signal/terminator, mas (A. tumefaciens)
50340	pICH44300	3'UTR, polyadenylation signal/terminator, act2 (A. thaliana)
50339	pICH41421	3'UTR, polyadenylation signal/terminator, nos (A. tumefaciens)
50338	pICH72400	3'UTR, polyadenylation signal/terminator, Atug7 (A. tumefaciens)
50337	pICH41414	3'UTR, polyadenylation signal/terminator, 35s (Cauliflower Mosaic Virus)
50336	pICSL70008	pFAST-R selection cassette (monomeric tagRFP from E. quadricolor fused to the coding sequence of OLE1 (A. thaliana)
50335	pICSL70005	bialaphos resistance cassette (Nos promoter (A. tumefaciens) + phosphinothricin acetyl transferase (S. hygroscopicus) + Nos terminator from (A. tumefaciens))
50334	pICSL70004	kanamycin/neomycin/paromomycin resistance cassette (Nos promoter (A. tumefaciens) + NptII (E.coli) + Ocs terminator (A. tumefaciens))
50333	pICSL70002	BASTA resistance cassette (Act2 promoter (A. thaliana) + BirA (E.coli) + 35s terminator (Cauliflower Mosaic Virus))
50332	pICSL80016	CDS no stop codon, β-glucuronidase (E. coli) with two introns
50331	pICSL80012	CDS, YFP variant of GFP (A. victoria)
50330	pICH44022	CDS, P19 suppressor of gene silencing (Tomato Bushy Stunt Virus)
50328	pICH42222	CDS, phosphinothricin acetyl transferase, (S. hygroscopicus)
50327	pICH75111	CDS, β-glucuronidase (E. coli) with two introns
50326	pICSL80001	CDS, luciferase (P. pyralis)
50325	pICSL80004	CDS, plant codon-optimsed variant of turbo RFP (Entacmaea quadricolor)
50324	pICH49477	CDS, DsRed variant of RFP (Discosoma sp.)
50323	pICSL80007	CDS, mCherry variant of RFP (Discosoma sp.)
50322	pICSL80005	CDS, variant of turboGFP codon-optimised for plants (Pontellina plumata)
50321	pICH41531	CDS, GFP (A. victoria)
50320	pICSL80014	CDS, YFP variant of GFP (A. victoria)
50319	pICSL50006	CDS, luciferase (Photinus pyralis)
50318	pICSL50015	CDS, mNEON (Branchistoma lanceolatum)
50317	pICSL50011	CDS, EOS photoactivatable fluorescent protein (L. hemprichii)
50316	pICSL50004	CDS, mCherry variant of RFP (Discosoma sp.)
50315	pICSL50016	CDS, variant of turboGFP codon-optimised for plants (P. plumata) with intron, U5 small nuclear ribonucleoprotein component  (A. thaliana)36
50314	pICSL50008	CDS, GFP (A. victoria)
50313	pICSL50014	C terminal HBP tag (HA-PreScission-Biotin)
50312	pICSL50013	C terminal T7 tag (bacteriophage T7 gene 10)
50311	pICSL50012	C terminal V5 tag (Simian Virus 5)
